Treatment,Replicate,Pathogen,Seedling_Number,1,2,3,4,5,6,7,8,9,10
Rescue,DCR1,DC3000,170,0,0,0.5,0,0,0.5,0.5,0.5,1,1.5
Protection,DCP1,DC3000,171,0,0,0,0,0,0,0,0.5,0.5,0.5
Protection,PTP1,PT23,172,0,0,0,0,0,0.5,0.5,0.5,0,0.5
Rescue,DCR2,DC3000,173,0,1,1,1,0.5,0.5,1,1,1,1.5
Competition,PTC1,PT23,174,0,1,1.5,1.5,1.5,2,2,2.5,2.5,2.5
Protection,PTP2,PT23,175,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5
Competition,PTC2,PT23,176,0,0,0,0,0,0.5,0.5,1,1,1
Protection,DCP2,DC3000,177,0,0.5,0.5,0.5,1,1,1,1,1,1
Competition,DCC1,DC3000,178,0,0,0,0,0,0,0,0.5,0.5,1
(13) - 13 Control,(13)-1,None,179,0,1,0.5,1,0.5,1,1,1.5,1.5,1.5
Protection,PTP3,PT23,180,0,0,0,0.5,0,0.5,0.5,2,2,2
Rescue,DCR3,DC3000,181,0,0,0.5,0,0.5,0,0,0.5,0.5,0.5
(-) - Neg Control,(-)-1,None,182,0,0,0,0,0.5,0,1,1,1,2
Competition,DCC2,DC3000,183,0,0,0,0,0,0.5,0.5,0.5,1.5,2
Competition,PTC3,PT23,184,0,0.5,0.5,0.5,0,0,0,0,0,0
(PT) - PT Control,(PT)-1,PT23,185,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Competition,DCC3,DC3000,186,0,0,0,0.5,0,0,0.5,1.5,1.5,1.5
Rescue,DCR4,DC3000,187,0,2,2.5,3,3,3,3,3,3,3
(13) - 13 Control,(13)-2,None,188,0,0,0.5,0.5,0,1,1,1,1.5,1.5
Protection,DCP3,DC3000,189,0,0,0,0,0,0,1,1,1.5,1.5
(DC) - DC Control,(DC)-1,DC3000,190,0,0,1,1,1,1,1,1,1,1.5
Competition,PTC4,PT23,191,0,0,0,0.5,0,0.5,0.5,1,0.5,1
Rescue,DCR5,DC3000,192,0,0,0,0.5,0,0.5,0.5,1,1,1
(PT) - PT Control,(PT)-2,PT23,193,0,0,1,1,1,1,1,1.5,1.5,1.5
Rescue,PTR1,PT23,194,0,0.5,0,1,1,1,1,1,1.5,1.5
Competition,DCC4,DC3000,195,0,0,0.5,1.5,1.5,1.5,1.5,1.5,1.5,2.5
Protection,PTP4,PT23,196,0,0,0.5,1,0.5,1,1,1.5,2,2
(-) - Neg Control,(-)-2,None,197,0,0.5,1,1,1,1,1,1,1.5,1.5
Protection,DCP4,DC3000,198,0,0,1,1,2,2,2,3,3,3
Rescue,DCR6,DC3000,199,0,1,1,1,1,1,1,1,1,1
(13) - 13 Control,(13)-3,None,200,0,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1
Protection,PTP5,PT23,201,0,0,0,0,0.5,1,1.5,1.5,1.5,1.5
Rescue,PTR2,PT23,202,0,0,0,0,0,0,0,0,0.5,1
Competition,PTC5,PT23,203,0,0.5,1,1,0.5,1,1.5,2,1,1
(DC) - DC Control,(DC)-2,DC3000,204,0,0.5,0.5,1,1,1,1,1.5,1.5,2
(PT) - PT Control,(PT)-3,PT23,205,0,1.5,1,1,1,1,1,1,1,1
Rescue,PTR3,PT23,206,0,0.5,1.5,1,1,1,1,1,1,1
Competition,DCC5,DC3000,207,0,0,0,0,0.5,0,0,0.5,0,0.5
Rescue,PTR4,PT23,208,0,0,0,0.5,1,1,1,1.5,1.5,2
Protection,DCP5,DC3000,209,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,1.5
Rescue,PTR5,PT23,210,0,0,0,0,0.5,0.5,0.5,1,1,1
Protection,PTP6,PT23,211,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1
Competition,DCC6,DC3000,212,0,1.5,2,2,2,2,2,2.5,2.5,2.5
Competition,PTC6,PT23,213,0,0,0.5,0.5,1,0.5,1,1,1,1.5
(DC) - DC Control,(DC)-3,DC3000,214,0,0,1,1,1,1,1,1.5,1.5,1
(-) - Neg Control,(-)-3,None,215,0,0,0,0.5,0.5,1,1,1,1,1
Protection,DCP6,DC3000,216,0,0.5,0.5,1,1,1,1,1.5,1.5,1.5
Rescue,PTR6,PT23,217,0,0,0,0,0,0,0,0.5,1,1