Treatment,Replicate,[SC],Seedling_Number,1,2,3,4,5,6,7,8,9,10
Rescue,R07,0.002,110,0,0.5,1,1,1,3,3,3,3,3
Protection,P12,0.002,111,1,1,1,1,1,1,1,1,1,1
Rescue,R08,0.002,112,0,0,0,0,0,0,0,0,0.5,0.5
(SC) - SC Control,(SC)-3,0.02,113,0,0,0,0,0.5,0.5,0.5,0,0,0.5
Protection,P11,0.002,114,0,0.5,1,1,1,1,0.5,0.5,0.5,0.5
(-) - Neg Control,(-)-06,Ps/MgCl2,115,0,0,0.5,1,0.5,1,1,1,1,1
Protection,P10,0.002,116,0,0,0,0,0,0,0,0.5,0,0
Rescue,R01,0.02,117,0.5,0.5,1,1,1.5,1.5,2.5,2.5,2.5,2.5
Competition,C12,0.002,118,0,0,0,0,0,0.5,0,0,0,0
Competition,C11,0.002,119,0.5,1,1,1,1,0.5,0.5,1,0.5,1
Protection,P09,0.002,120,0,1,1,1,1,1,1,0.5,0.5,0
Competition,C10,0.002,121,0,0,0,0,0,0,0,0,0.5,0.5
Rescue,R09,0.002,122,0,0.5,1,1,1,1,0.5,1.5,1.5,1.5
(-) - Neg Control,(-)-05,Ps/MgCl2,123,0,0,0,1,0.5,0.5,0,1,0.5,0.5
(SC) - SC Control,(SC)-2,0.02,124,0,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5
Competition,C06,0.02,125,0,0.5,0,0.5,0.5,1,1.5,1.5,1.5,1.5
None,N06,Ps/MgCl2,126,0.5,1,1,1,1,1,1,1,1,1
Rescue,R02,0.02,127,0,0,0,0.5,0,0,0,0.5,0,0.5
Protection,P08,0.002,128,0,0,0,0,0.5,0.5,0.5,1,1,1
(SC) - SC Control,(SC)-1,0.02,129,0.5,0.5,0.5,1,1,1,1,1,1,1
None,N05,Ps/MgCl2,130,0,0,0,0,0.5,0,0.5,0.5,0.5,0
Protection,P07,0.002,131,0,0,0,0,0.5,0,0,0.5,0.5,0.5
Competition,C05,0.02,132,0,0,0.5,0.5,0.5,0.5,1,1,1,1
Competition,C09,0.002,133,0.5,1,0.5,1,1.5,1,1.5,1.5,1.5,1.5
Rescue,R10,0.002,134,0,0,0,1,1,1,1,1.5,2.5,2.5
Rescue,R03,0.02,135,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Protection,P06,0.02,136,0,0.5,0.5,1,0.5,0.5,1,0.5,1,0.5
Rescue,R11,0.002,137,0,0,0,0,0.5,0.5,1,0.5,1,1
Competition,C04,0.02,138,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0
(-) - Neg Control,(-)-04,Ps/MgCl2,139,0,0,0,1,0.5,0.5,1,1,0.5,1
(+) - Pos Control,(+)-6,Ps/MgCl2,140,0,0,1,0,0,0.5,0.5,1,1,1.5
Protection,P05,0.02,141,0,0,0,0,0,0.5,0.5,0,1,1
None,N04,Ps/MgCl2,142,0,0,0,0,0,0.5,0.5,0.5,0.5,0
None,N03,Ps/MgCl2,143,0,0,0,0,0,0.5,0.5,1,1,0.5
Protection,P04,0.02,144,0,0,0,0,0,0.5,0.5,1,1,1
(SC) - SC Control,(SC)-6,0.002,145,0.5,0.5,0.5,1,0.5,0.5,0,1,0.5,0.5
Competition,C08,0.002,146,0,0,0.5,1,0.5,0.5,1,1.5,2,2
(+) - Pos Control,(+)-5,Ps/MgCl2,147,0,0.5,0.5,0.5,1,1,1,1,1,1
(-) - Neg Control,(-)-03,Ps/MgCl2,148,0,0,0,0,0,0,0,0.5,1,0.5
Rescue,R12,0.002,149,0,0,0,0.5,1,1,1,1,1,1.5
(+) - Pos Control,(+)-4,Ps/MgCl2,150,0,0,0,0,0,0,0,0,0,0
Rescue,R04,0.02,151,0,0.5,0.5,1,2,2,2,2,2,2
(+) - Pos Control,(+)-3,Ps/MgCl2,152,0,0.5,1,2,2,2,2.5,3,3,3
Competition,C03,0.02,153,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5
None,N02,Ps/MgCl2,154,0.5,0,0,0,0,0,0.5,1,0.5,1
(SC) - SC Control,(SC)-5,0.002,155,0,0,0.5,1,0.5,0.5,0.5,1,1,1
Competition,C02,0.02,156,0.5,0.5,0,1,1,1,1.5,1.5,1.5,1.5
(+) - Pos Control,(+)-2,Ps/MgCl2,157,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5
(-) - Neg Control,(-)-02,Ps/MgCl2,158,0,0.5,1,1,1,1,0.5,1,0.5,1
Rescue,R05,0.02,159,0,0,0,1.5,2,2,2,2,2,2
Protection,P03,0.02,160,0,0,0.5,0,0.5,1,1,1,0.5,0.5
(+) - Pos Control,(+)-1,Ps/MgCl2,161,0,0,0,0,0,0,0,0.5,0,0
Competition,C07,0.002,162,0,0,0,0,0,0,0,0,0,0
Protection,P02,0.02,163,0,0,0,0,0.5,0.5,0.5,1,1.5,1.5
(SC) - SC Control,(SC)-4,0.002,164,0,0,0,0,0.5,0.5,1,0.5,0.5,0
None,N01,Ps/MgCl2,165,0,0.5,0.5,1,1,1,1,1,1,1
(-) - Neg Control,(-)-01,Ps/MgCl2,166,1,1,1,1,1,1,0.5,1,0.5,0.5
Competition,C01,0.02,167,0,0,0.5,0.5,0,0,0,0.5,0.5,0.5
Rescue,R06,0.02,168,0,0.5,0.5,1,1,1,1,1.5,1.5,1.5
Protection,P01,0.02,169,0.5,0.5,1,1,1,1,1,1,1,1