Treatment,Replicate,Seedling_Number,1,2,3,4,5,6,7,8,9,10
Competition,C-2,76,0,0,0,0,0,0,0.5,0.5,1,1
Rescue,R-1,77,0,0,0,0,0,0.5,0.5,1,1.5,1.5
None,NA,78,0,0,0,0,0.5,0,0.5,0.5,0.5,1
Protection,P-4,79,1.5,1.5,1.5,1.5,2,2,2,2,2,2
(-) - Neg Control,(-)-3,80,0,0,0,0,0,0,0.5,1,0.5,1
None,NA,81,0,0,1,1,1,1,1,1,1,1.5
(+) - Pos Control,(+)-1,82,0,0,0,0.5,0.5,0.5,0.5,1.5,1.5,1.5
(-) - Neg Control,(-)-1,83,0,0,0,0,0,0,0,1,1,1.5
None,NA,84,0,0,0,0,1,1,1,1,1,1
Protection,P-6,85,0,0,0,0,0,0.5,0.5,1,1,1
Competition,C-1,86,0,0,0,0,0,0.5,0.5,1,1,1
None,NA,87,0,0,0.5,0.5,0.5,0.5,1,1,1,1
(SC) - SC Control,(SC)-2,88,0,0,0,0,0,0,0,0.5,1,1
Competition,C-6,89,0,0,0.5,0,0,0,0.5,1,1,1.5
Rescue,R-5,90,0,0,0,0,0.5,0,0.5,1,1,1
Competition,C-5,91,0,0,0,0,0,0,0.5,1,1,1.5
Protection,P-1,92,0,0,0,0,0.5,0.5,0.5,0.5,0.5,1.5
(+) - Pos Control,(+)-2,93,2,2,2,2,2,2,2,2,2,2
None,NA,94,0,0,0.5,0.5,0,0.5,0.5,1,1,1.5
Rescue,R-2,95,0,0,0,0.5,0.5,0.5,1,1,1,1.5
Protection,P-3,96,0,0,0.5,0,0,0.5,1,1,1.5,1.5
None,NA,97,0,0,0,1,1.5,1.5,1.5,1.5,1.5,1.5
(SC) - SC Control,(SC)-3,98,0,0,0,0,0,0.5,1,1,1,1.5
Rescue,R-4,99,0,0,0,0.5,0,0.5,1,1.5,2,2
Protection,P-5,100,0,0,0,0,0,0,0.5,0.5,0.5,1
Competition,C-3,101,0,0,0,0.5,0.5,0.5,0,1,1,1
Rescue,R-6,102,0,0,0,0.5,0,0,0.5,0.5,1,1.5
(-) - Neg Control,(-)-2,103,0,0,0,0,1,1,1,1,1,1
(SC) - SC Control,(SC)-1,104,0,0,0,0,0,0,0.5,0.5,1,1
Competition,C-4,105,0,0,0,0,0,0.5,0.5,0.5,1,1
Protection,P-2,106,0,0,0.5,1,1,1.5,1.5,1.5,2,2
Rescue,R-3,107,0,0,0,0,0,0.5,0.5,1,1,1
(+) - Pos Control,(+)-3,108,0,0,0,0,0.5,0.5,1,1,1,1
None,NA,109,0,0,0,0,0,0.5,1,1,1.5,1.5